X,Y
651,272
651,272
651,272
651,272
651,272
668,279
668,279
668,279
668,279
686,289
686,289
686,289
686,289
686,289
701,295
701,295
701,295
701,295
701,295
712,298
712,298
712,298
712,298
712,298
723,300
723,300
723,300
723,300
729,302
729,302
729,302
729,302
729,302
737,302
737,302
737,302
737,302
744,303
744,303
744,303
744,303
744,303
749,303
749,303
749,303
749,303
756,305
756,305
756,305
756,305
763,305
763,305
763,305
763,305
763,305
768,305
768,305
768,305
768,305
768,305
774,305
774,305
774,305
774,305
778,305
778,305
778,305
778,305
778,305
782,305
782,305
782,305
782,305
786,305
786,305
786,305
786,305
786,305
789,305
789,305
789,305
789,305
793,305
793,305
793,305
793,305
793,305
796,305
796,305
796,305
796,305
796,305
798,305
798,305
798,305
798,305
799,306
799,306
799,306
799,306
799,306
803,306
803,306
803,306
803,306
809,307
809,307
809,307
809,307
809,307
813,307
813,307
813,307
813,307
813,307
819,307
819,307
819,307
819,307
819,307
824,308
824,308
824,308
824,308
830,308
830,308
830,308
830,308
835,308
835,308
835,308
835,308
835,308
841,308
841,308
841,308
841,308
849,308
849,308
849,308
849,308
849,308
859,308
859,308
859,308
859,308
872,308
872,308
872,308
872,308
872,308
888,311
888,311
888,311
888,311
901,312
901,312
901,312
901,312
901,312
918,316
918,316
918,316
918,316
918,316
935,316
935,316
935,316
935,316
949,316
949,316
949,316
949,316
949,316
968,317
968,317
968,317
968,317
987,317
987,317
987,317
987,317
987,317
1009,317
1009,317
1009,317
1009,317
1009,317
1031,317
1031,317
1031,317
1031,317
1053,317
1053,317
1053,317
1053,317
1053,317
1072,317
1072,317
1072,317
1072,317
1072,317
1083,316
1083,316
1083,316
1083,316
1083,316
1094,314
1094,314
1094,314
1094,314
1101,311
1101,311
1101,311
1101,311
1101,311
1108,309
1108,309
1108,309
1108,309
1112,306
1112,306
1112,306
1112,306
1112,306
1115,305
1115,305
1115,305
1115,305
1115,305
1119,303
1119,303
1119,303
1119,303
1119,303
1122,301
1122,301
1122,301
1122,301
1125,299
1125,299
1125,299
1125,299
1125,299
1127,296
1127,296
1127,296
1127,296
1128,294
1128,294
1128,294
1128,294
1128,294
1130,290
1130,290
1130,290
1130,290
1130,290
1131,284
1131,284
1131,284
1131,284
1133,276
1133,276
1133,276
1133,276
1133,276
1135,270
1135,270
1135,270
1135,270
1135,270
1136,265
1136,265
1136,265
1136,265
1136,261
1136,261
1136,261
1136,261
1136,261
1136,253
1136,253
1136,253
1136,253
1137,246
1137,246
1137,246
1137,246
1137,246
1137,235
1137,235
1137,235
1137,235
1137,226
1137,226
1137,226
1137,226
1137,218
1137,218
1137,218
1137,218
1137,218
1137,211
1137,211
1137,211
1137,211
1137,203
1137,203
1137,203
1137,203
1137,203
1137,198
1137,198
1137,198
1137,198
1137,198
1137,193
1137,193
1137,193
1137,193
1134,187
1134,187
1134,187
1134,187
1132,183
1132,183
1132,183
1132,183
1132,183
1130,177
1130,177
1130,177
1130,177
1126,171
1126,171
1126,171
1126,171
1126,171
1123,166
1123,166
1123,166
1123,166
1119,161
1119,161
1119,161
1119,161
1119,161
1115,157
1115,157
1115,157
1115,157
1114,155
1114,155
1114,155
1114,155
1114,155
1111,153
1111,153
1111,153
1111,153
1111,153
1108,150
1108,150
1108,150
1108,150
1108,150
1103,147
1103,147
1103,147
1103,147
1103,147
1101,146
1101,146
1101,146
1101,146
1096,144
1096,144
1096,144
1096,144
1096,144
1090,141
1090,141
1090,141
1090,141
1090,141
1083,139
1083,139
1083,139
1083,139
1074,136
1074,136
1074,136
1074,136
1074,136
1067,135
1067,135
1067,135
1067,135
1067,135
1058,134
1058,134
1058,134
1058,134
1046,132
1046,132
1046,132
1046,132
1046,132
1035,132
1035,132
1035,132
1035,132
1022,132
1022,132
1022,132
1022,132
1022,132
1010,132
1010,132
1010,132
1010,132
997,132
997,132
997,132
997,132
985,132
985,132
985,132
985,132
985,132
972,132
972,132
972,132
972,132
972,132
960,132
960,132
960,132
960,132
960,132
948,132
948,132
948,132
948,132
938,132
938,132
938,132
938,132
938,132
929,133
929,133
929,133
929,133
929,133
922,134
922,134
922,134
922,134
922,134
914,137
914,137
914,137
914,137
909,138
909,138
909,138
909,138
909,138
905,142
905,142
905,142
905,142
902,143
902,143
902,143
902,143
902,143
898,145
898,145
898,145
898,145
